Temps en minutes;Critères C/I : UA -> UA terrestrial;UA -> UA Satellite ;UA -> ground station;UA -> Satellite; Critères I/N  : UA -> UA ;UA -> ground station;UA -> Satellite
0.0;-inf;-inf;-3.706689259129263;-3.369167502841833;-inf;8.242315825197494;10.905240692858825
1.0;-36.08438073584726;-36.08438073584726;-3.715975805647645;-3.3854707984792896;-36.08438073584726;8.330093239019618;11.000033444900296
2.0;-29.986173641303324;-29.986173641303324;-3.7269710649174215;-3.403364777398778;-29.986173641303324;8.418302476141292;11.095139988620431
3.0;-26.388114263542818;-26.388114263542818;-3.739749814766867;-3.4229239414807466;-26.388114263542818;8.506922384227437;11.190538898338474
4.0;-23.814576818950798;-23.814576818950798;-3.7543895703940677;-3.4442256806705416;-23.814576818950798;8.595931976071284;11.286209064386526
5.0;-21.80318620020732;-21.80318620020732;-3.770970499170275;-3.4673501879139224;-21.80318620020732;8.685310546432603;11.382129810078652
6.0;-20.148046277916123;-20.148046277916123;-3.7895752924637094;-3.4923803295995555;-20.148046277916123;8.775037780105535;11.478280998394197
7.0;-18.739375706634377;-18.739375706634377;-3.8102889874218278;-3.519401464228764;-18.739375706634377;8.865093845459356;11.574643122400573
8.0;-17.511688630307617;-17.511688630307617;-3.8331987309674957;-3.5485012013368618;-17.511688630307617;8.955459466664678;11.671197372396918
9.0;-16.42278431428892;-16.42278431428892;-3.8583934775983693;-3.579769092022005;-16.42278431428892;9.046115966727697;11.767925671666902
10.0;-15.44388335981273;-15.44388335981273;-3.8859636119345;-3.6132962417861165;-15.44388335981273;9.137045272328464;11.864810671597326
11.0;-14.554490098786289;-14.554490098786289;-3.9160004863954043;-3.649174835837755;-14.554490098786289;9.228229870328988;11.961835695795713
12.0;-13.739499723388064;-13.739499723388064;-3.948595863895278;-3.6874975665222536;-13.739499723388064;9.319652704714699;12.058984621747456
13.0;-12.987467121128901;-12.987467121128901;-3.983841255111358;-3.7283569522324456;-12.987467121128901;9.411297001711475;12.156241687553006
