Puissance reçue par le satellite;interférence reçue par le satellite;C / N+I
-105.46392680998301;-102.09475930714117;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.385437353579;-101.9999665550997;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.30822478877835;-101.90486001137957;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.23238504314227;-101.80946110166153;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.15801661628402;-101.71379093561347;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.08522037783527;-101.61787018992135;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-105.01409933120536;-101.5217190016058;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-104.94475834182819;-101.42535687759943;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-104.87730382893994;-101.32880262760308;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
-104.8118434203551;-101.2320743283331;"[-3.3691675  -3.3854708  -3.40336478 -3.42292394 -3.44422568 -3.46735019
 -3.49238033 -3.51940146 -3.5485012  -3.57976909 -3.61329624 -3.64917484
 -3.68749757 -3.72835695 -3.77184454 -3.81804996 -3.86705989 -3.91895678
 -3.97381754 -4.03171195 -4.09270096 -4.15683481 -4.22415102 -4.29467212
 -4.36840339 -4.44533032 -4.5254161  -4.60859899 -4.6947897  -4.78386884
 -4.87568446 -4.97004984 -5.06674151 -5.16549778 -5.26601768 -5.36796059
 -5.47094661 -5.57455783 -5.67834052 -5.78180844 -5.88444722 -5.98571997
 -6.08507392 -6.18194818 -6.27578233 -6.36602585 -6.45214783 -6.53364696
 -6.61006117 -6.68097676 -6.74603652 -6.8049465  -6.85748119 -6.90348687
 -6.94288298 -6.97566153 -7.00188453 -7.02167981 -6.13238721 -6.1419793
 -6.14450803]"
